Drug Name,Company,Active Ingredient,Indication,Dosage and Administration,Side Effects,Use in pregnancy,,
Proventa® Inhaler,Opsonin,Salbutamol 100 mcg/puff,Treatment of bronchospasm in asthma and COPD,As directed by a physician,"Nervousness, palpitations, muscle cramps",Use only if clearly needed,,
Beviprex® Inhaler,Square,Glycopyrronium Bromide + Formoterol Fumarate,Maintenance treatment of COPD,As directed by a physician,"Dry mouth, headache, dizziness",Use only if clearly needed,,
Brodil Levo® Inhaler,ACI,Levosalbutamol,Relief of bronchospasm in asthma and COPD,As directed by a physician,"Tremor, headache, tachycardia",Use only if clearly needed,,
Combiver® Inhaler,Healthcare,Salbutamol + Ipratropium,Treatment of bronchospasm in asthma and COPD,As directed by a physician,"Dry mouth, headache, dizziness",Use only if clearly needed,,
Beviprex™,Square,Indacaterol + Glycopyrronium,Maintenance treatment of COPD,1 inhalation daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Dulamet HFA,Square,Formoterol + Mometasone,Regular treatment of asthma,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Trelanti™ Cozycap,Square,Indacaterol + Glycopyrronium,Maintenance treatment of COPD and asthma,1 inhalation once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Beclomin HFA,Square,Beclometasone Dipropionate,Prophylactic management of asthma,1-2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Revatol Syrup,Square,Theophylline,"Asthma, COPD, pulmonary fibrosis, tuberculosis",5-15 mL 2-3 times daily,"Nausea, insomnia, palpitations",Use only if clearly needed,,
Roxair,Incepta,Roflumilast,Asthma and COPD,500 mcg once daily,"Diarrhea, weight loss, nausea",Not recommended during pregnancy,,
Respimax Pro,Incepta,Indacaterol + Glycopyrronium,Maintenance treatment of COPD and asthma,1 capsule inhaled once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Windel ConviCap,Incepta,Salbutamol,Relief of bronchospasm in asthma and COPD,1 capsule inhaled as needed,"Tremor, nervousness, headache",Use only if clearly needed,,
Brezofil,Incepta,Doxofylline,Maintenance treatment of asthma and COPD,400 mg twice daily,"Nausea, vomiting, insomnia",Use only if clearly needed,,
Trilexa,Beximco,Vilanterol + Fluticasone Furoate + Umeclidinium,Maintenance treatment of COPD and asthma,1 capsule inhaled once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Bexitrol F HFA,Beximco,Salmeterol + Fluticasone,Chronic asthma and COPD,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Bexitrol F Bexicap,Beximco,Salmeterol + Fluticasone,Chronic asthma and COPD,1 capsule inhaled twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Doxorin,Opsonin ,Doxofylline,Treatment of asthma,400 mg twice daily,"Nausea, vomiting, insomnia",Use only if clearly needed,,
Filin,Opsonin ,Aminophylline,Control of acute asthma and COPD exacerbations,250-500 mg IV infusion,"Nausea, vomiting, insomnia",Use only if clearly needed,,
Unilin,Opsonin ,Theophylline,Chronic asthma and COPD,200-400 mg twice daily,"Nausea, vomiting, insomnia",Use only if clearly needed,,
Improvent,Opsonin ,Salbutamol + Ipratropium,COPD with bronchospasm,2 puffs four times daily,"Dry mouth, cough, headache",Use only if clearly needed,,
Pulmicort-F,Opsonin ,Budesonide + Formoterol,Treatment of asthma in patients ≥12 years,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Viltica-U,Renata ,Umeclidinium + Vilanterol,Maintenance treatment of COPD,1 capsule inhaled once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Saltica Inhaler,Renata ,Salmeterol + Fluticasone,Asthma and COPD,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Renafor-B,Renata ,Budesonide + Formoterol,Asthma and COPD,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Formocort,Healthcare,Formoterol + Budesonide,Maintenance treatment of COPD,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Combiver,Healthcare,Salbutamol + Ipratropium,COPD with bronchospasm,2 puffs four times daily,"Dry mouth, cough, headache",Use only if clearly needed,,
Breon Acucap,ACI,Salmeterol + Fluticasone,Maintenance treatment of asthma and COPD,1 capsule inhaled twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Trio Acucap,ACI,Indacaterol + Glycopyrronium + Mometasone,Maintenance treatment of asthma and COPD,1 capsule inhaled once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Oxima,ACI,Indacaterol,Maintenance treatment of COPD,1 capsule inhaled once daily,"Cough, headache, nasopharyngitis",Use only if clearly needed,,
Seroxyn Acucap,ACI,Salmeterol + Fluticasone,Maintenance treatment of asthma and COPD,1 capsule inhaled twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Azbec Inhaler,Ek+f,Beclometasone Dipropionate,Prophylactic management of asthma,1-2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Arotide,Ek+f,Salmeterol + Fluticasone,Asthma and COPD,2 inhalations twice daily,"Oral thrush, hoarseness",Use only if clearly needed,,
Amoxicillin,Square,Amoxicillin,"Treats infections such as tonsillitis, bronchitis, pneumonia, and urinary tract infections","Typically 250–500 mg every 8 hours or 500–875 mg every 12 hours, depending on the severity of the infection","Nausea, vomiting, diarrhea, rash",Classified as FDA Pregnancy Category B; generally considered safe during pregnancy,,
Azithromycin,Beximco,Azithromycin,"Effective against respiratory infections, skin infections, and sexually transmitted diseases","500 mg on day 1, followed by 250 mg once daily on days 2 through 5","Diarrhea, nausea, abdominal pain","Classified as FDA Pregnancy Category B; animal studies have not shown harm to the fetus, but human studies are lacking",,
Cefixime,Renata,Cefixime,"Used for treating infections like bronchitis, gonorrhea, and urinary tract infections",400 mg once daily or 200 mg every 12 hours,"Diarrhea, nausea, abdominal pain","Classified as FDA Pregnancy Category B; animal studies have not demonstrated risk, but adequate human studies are lacking",,
Ciprofloxacin,Ek+f,Ciprofloxacin,"Treats infections such as urinary tract infections, respiratory tract infections, and skin infections","250–750 mg every 12 hours, depending on the type and severity of infection","Nausea, diarrhea, dizziness, rash",Classified as FDA Pregnancy Category C; should only be used if the potential benefit justifies the potential risk to the fetus,,
Metronidazole,ACI,Metronidazole,Effective against anaerobic bacterial infections and protozoal infections like amoebiasis and giardiasis,"500 mg every 8 hours for 7–10 days, depending on the infection","Nausea, metallic taste, headache",Generally considered safe; studies have not shown increased risk of birth defects,,
Amoxicillin-Clavulanic Acid,Incepta,Amoxicillin and Clavulanic Acid,"Used for infections caused by beta-lactamase-producing bacteria, including sinusitis and otitis media",500 mg/125 mg every 8 hours or 875 mg/125 mg every 12 hours,"Diarrhea, nausea, skin rash",Classified as FDA Pregnancy Category B; should be used during pregnancy only if clearly needed,,
Azithromycin,Opsonin,Azithromycin,Treats community-acquired pneumonia and sinusitis,2 g single dose,"Gastrointestinal disturbances, headache",Classified as FDA Pregnancy Category B; use only if clearly needed,,
Cefixime,Aristopharma,Cefixime,Used for pediatric patients with infections like otitis media and pharyngitis,8 mg/kg/day once daily or in two divided doses,"Diarrhea, abdominal pain, rash",Classified as FDA Pregnancy Category B; should be used during pregnancy only if clearly needed,,
Ciprofloxacin,Acme,Ciprofloxacin,Treats bacterial conjunctivitis and corneal ulcers,"1–2 drops every 2 hours while awake for two days, then every 4 hours for the next five days","Eye irritation, burning sensation",Classified as FDA Pregnancy Category C; should be used during pregnancy only if the potential benefit justifies the potential risk,,
Metronidazole,Drug International,Metronidazole,Treats bacterial vaginosis,Apply once or twice daily for 5 days,"Vaginal irritation, discharge",Generally considered safe; studies have not shown increased risk of birth defects,,
Flucloxacillin Sodium,Acme,Flucloxacillin Sodium,"Used to treat infections caused by penicillinase-producing staphylococci, including skin and soft tissue infections",250–500 mg every 6 hours,"Nausea, diarrhea, allergic reactions",Generally considered safe; consult a healthcare provider,,
Cefuroxime Axetil,Incepta ,Cefuroxime Axetil,"Effective against respiratory tract infections, urinary tract infections, and skin infections",250–500 mg twice daily,"Diarrhea, nausea, abdominal pai",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Cefpodoxime Proxetil,Renata,Cefpodoxime Proxetil,"Used for treating respiratory tract infections, urinary tract infections, and skin infections",100–200 mg twice daily,"Diarrhea, nausea, rash",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Faropenem Sodium,Incepta,Faropenem Sodium,"Treats respiratory tract infections, urinary tract infections, and skin infections",200–300 mg three times daily,"Diarrhea, nausea, rash",Safety not well established; use only if clearly needed,,
Meropenem,Ek+f,Meropenem,"Used for severe infections like meningitis, pneumonia, and intra-abdominal infections",500 mg to 2 g every 8 hours intravenously,"Nausea, diarrhea, rash",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Linezolid,Incepta,Linezolid,"Effective against infections caused by Gram-positive bacteria, including MRSA and VRE",600 mg every 12 hours,"Diarrhea, headache, nausea",Classified as FDA Pregnancy Category C; use only if benefits outweigh risks,,
Cefixime Trihydrate,Beacon,Cefixime Trihydrate,"Used for treating respiratory tract infections, urinary tract infections, and gonorrhea",200–400 mg once daily or in divided doses,"Diarrhea, nausea, abdominal pain",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Cefadroxil Monohydrate,Medimet,Cefadroxil Monohydrate,"Treats skin infections, urinary tract infections, and pharyngitis",500 mg to 1 g every 12 hours,"Nausea, diarrhea, rash",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Erythromycin Ethyl Succinate,Chemist,Erythromycin Ethyl Succinate,"Used for respiratory tract infections, skin infections, and pertussis",250–500 mg every 6 hours,"Nausea, vomiting, abdominal pain",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Levofloxacin Hemihydrate,Edruc,Levofloxacin Hemihydrate,"Treats respiratory tract infections, urinary tract infections, and skin infections",500–750 mg once daily,"Nausea, diarrhea, headache",Classified as FDA Pregnancy Category C; use only if benefits outweigh risks,,
Cefixime Trihydrate,Hallmark,Cefixime Trihydrate,"Used for treating respiratory tract infections, urinary tract infections, and gonorrhea",200–400 mg once daily or in divided doses,"Diarrhea, nausea, abdominal pain",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Cefixime Trihydrate,Medimet,Cefixime Trihydrate,"Used for treating respiratory tract infections, urinary tract infections, and gonorrhea",200–400 mg once daily or in divided doses,"Diarrhea, nausea, abdominal pain",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Cefixime Trihydrate,Edruc,Cefixime Trihydrate,"Used for treating respiratory tract infections, urinary tract infections, and gonorrhea",200–400 mg once daily or in divided doses,"Diarrhea, nausea, abdominal pain",Classified as FDA Pregnancy Category B; should be used only if clearly needed,,
Amoxil,ACI,Amoxicillin,"Respiratory tract infections, ENT infections, urinary tract infections",500 mg every 8 hours or 875 mg every 12 hours,"Nausea, diarrhea, rash",Generally considered safe (Pregnancy Category B),,
Zithrox,Square,Azithromycin,"Respiratory infections, skin infections, and sexually transmitted infections","500 mg on day 1, followed by 250 mg once daily for 4 days","Nausea, abdominal pain, diarrhea",Category B; use if clearly needed,,
Cef-3,Square,Cefixime,"Upper/lower respiratory tract infections, UTIs, gonorrhea",200–400 mg once daily or in divided doses,"Diarrhea, flatulence, abdominal pain",Category B; use if clearly needed,,
Ciprobac,Beximco,Ciprofloxacin,"UTIs, gastrointestinal infections, skin and soft tissue infections",250–750 mg twice daily,"Nausea, dizziness, tendonitis (rare)",Generally avoided (Category C),,
Flagentyl,Sanofi Bangladesh,Metronidazole,"Amoebiasis, dysentery, dental infections, bacterial vaginosis",400–800 mg 2–3 times daily,"Metallic taste, nausea, dizziness",Category B; avoid in the first trimester unless essential,,
Amoxicap,Ek+f,Amoxicillin,"Bronchitis, tonsillitis, pneumonia",500–875 mg every 8–12 hours,"Rash, nausea, diarrhea",Safe,,
Azin,Renata,Azithromycin,"Pharyngitis, sinusitis, soft tissue infections",500 mg daily for 3–5 days,"Stomach upset, vomiting, headache",Safe in most cases,,
Ximecef,ACI,Cefixime,"Otitis media, bronchitis, gonorrhea",200–400 mg once or divided,"GI upset, bloating, rash",Safe,,
Ciprocin,Incepta,Ciprofloxacin,"GI, respiratory, bone, and joint infections",500 mg every 12 hours,"GI discomfort, headache, tendon rupture (rare)",Not recommended unless benefits outweigh risks,,
Metrinid,Ek+f,Metronidazole,"Dysentery, giardiasis, dental and pelvic infections",400–800 mg 2–3 times daily for 5–10 days,"Metallic taste, dizziness, nausea",Avoid in 1st trimester unless necessary,,
Metco,Ek+f,Metronidazole,"Amoebiasis, giardiasis, trichomoniasis, anaerobic bacterial infections",400 mg orally 2–3 times daily; dosage may vary based on infection type,"Nausea, metallic taste, headache, dizziness",Generally considered safe,,
Metron,Leon,Metronidazole,"Bacterial vaginosis, dental infections, pelvic inflammatory disease",400 mg orally every 8 hours for 7–10 days,"Gastrointestinal discomfort, dry mouth, dark urine",Use with caution; consult healthcare provider,,
Metrogyl,Rephco,Metronidazole,"Trichomoniasis, anaerobic bacterial infections, protozoal infections",500 mg orally every 8 hours for 7 days,"Loss of appetite, nausea, abdominal cramps",Generally safe; avoid during the first trimester unless necessary,,
Metronid,Incepta,Metronidazole,"Amoebic dysentery, giardiasis, bacterial vaginosis",400–800 mg orally 2–3 times daily; duration depends on infection,"Metallic taste, nausea, dizziness",Use only if clearly needed; consult a physician,,
Metronidazole,General,Metronidazole,"Anaerobic bacterial infections, protozoal infections, dental infections",500 mg orally every 8 hours for 7–10 days,"Nausea, headache, dry mouth",Use with caution; consult healthcare provider,,
Metronidazole BP,Navana,Metronidazole,"Bacterial vaginosis, trichomoniasis, anaerobic infections",400 mg orally every 8 hours for 7 days,"Gastrointestinal upset, metallic taste, dizziness",Generally considered safe; consult a physician before use,,
